[4/23/23 11:55AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:07PM] Demon used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:32PM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Demon used command ::golden::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:37PM] Demon used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 02:01PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:32PM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:35PM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 02:35PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:35PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:51PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:29PM] Demon used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 04:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 04:33PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:34PM] Demon used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 04:35PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:01PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:03PM] Demon used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 05:03PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:05PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:08PM] Demon used command ::pvm | Player rights = CLERIC_DONATOR	
[4/23/23 05:23PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 05:24PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:33PM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 05:34PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 05:34PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 05:35PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:01PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 06:03PM] Demon used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 06:03PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 06:04PM] Demon used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 06:06PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:41PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:42PM] Demon used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 06:52PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:54PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:01PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:03PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:05PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 07:06PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 07:06PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:07PM] Demon used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 07:09PM] Demon used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 07:10PM] Demon used command ::showdrop | Player rights = CLERIC_DONATOR	
[4/23/23 07:29PM] Demon used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:31PM] Demon used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:32PM] Demon used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 07:34PM] Demon used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 08:01PM] Demon used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 08:21PM] Demon used command ::home | Player rights = TORMENTED_DONATOR	
[4/23/23 08:29PM] Demon used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 08:31PM] Demon used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 08:32PM] Demon used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 08:34PM] Demon used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 08:35PM] Demon used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 08:35PM] Demon used command ::home | Player rights = TORMENTED_DONATOR	
[4/23/23 08:45PM] Demon used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 09:06PM] Demon used command ::home | Player rights = TORMENTED_DONATOR	
[4/24/23 04:28AM] Demon used command ::home | Player rights = TORMENTED_DONATOR	
