[4/23/23 09:04AM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:05AM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:06AM] Wizzy used command ::elo | Player rights = CLERIC_DONATOR	
[4/23/23 09:07AM] Wizzy used command ::elo | Player rights = CLERIC_DONATOR	
[4/23/23 09:07AM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:08AM] Wizzy used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 09:14AM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:37AM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:38AM] Wizzy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 09:39AM] Wizzy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:42AM] Wizzy used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:43AM] Wizzy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:44AM] Wizzy used command ::fps | Player rights = CLERIC_DONATOR	
[4/23/23 09:44AM] Wizzy used command ::hide | Player rights = CLERIC_DONATOR	
[4/23/23 09:48AM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:53AM] Wizzy used command ::save | Player rights = CLERIC_DONATOR	
[4/23/23 09:54AM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:55AM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:55AM] Wizzy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 09:55AM] Wizzy used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 10:14AM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:53AM] Wizzy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Wizzy used command ::perks | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:57AM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Wizzy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Wizzy used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Wizzy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:02PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:03PM] Wizzy used command ::hideall | Player rights = TORMENTED_DONATOR	
[4/23/23 12:05PM] Wizzy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:07PM] Wizzy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:08PM] Wizzy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:32PM] Wizzy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 01:37PM] Wizzy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 02:21PM] Wizzy used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/23/23 02:39PM] Wizzy used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 02:49PM] Wizzy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 02:52PM] Wizzy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 03:01PM] Wizzy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 05:36PM] Wizzy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:41PM] Wizzy used command ::pos | Player rights = TORMENTED_DONATOR	
