[4/15/23 01:05PM] Player picked up item: Nightmare legs, id: 23030, amount: 1, owner: Ratskii	
[4/15/23 01:11PM] Player picked up item: Nightmare gloves, id: 23031, amount: 1, owner: Ratskii	
[4/15/23 01:11PM] Player picked up item: Nightmare gloves, id: 23031, amount: 1, owner: Ratskii	
[4/15/23 01:17PM] Player picked up item: Coin, id: 995, amount: 4500, owner: Ratskii	
[4/15/23 01:18PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Ratskii	
[4/15/23 01:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ratskii	
[4/15/23 01:26PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Ratskii	
[4/15/23 01:28PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Ratskii	
[4/15/23 01:29PM] Player picked up item: Coin, id: 995, amount: 1158906, owner: Ratskii	
[4/15/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ratskii	
[4/15/23 01:29PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Ratskii	
[4/15/23 01:31PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Ratskii	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Ratskii	
[4/15/23 01:36PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Ratskii	
[4/15/23 01:36PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Ratskii	
[4/15/23 01:37PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Ratskii	
[4/15/23 01:38PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Ratskii	
[4/15/23 01:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ratskii	
[4/15/23 01:39PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Ratskii	
