[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:31PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:32PM] Player picked up item: Coin, id: 995, amount: 300, owner: Gor3whor3	
[4/20/23 10:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:51PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:52PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:52PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:53PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:53PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:55PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:55PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Coin, id: 995, amount: 600, owner: Gor3whor3	
[4/20/23 10:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gor3whor3	
