[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:09PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:10PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 01:12PM] Player picked up item: Coin, id: 995, amount: 600, owner: Cheezyps3	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cheezyps3	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cheezyps3	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Cheezyps3	
[4/19/23 01:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cheezyps3	
[4/19/23 03:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cheezyps3	
[4/19/23 03:47PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
[4/19/23 03:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cheezyps3	
[4/19/23 03:48PM] Player picked up item: Coin, id: 995, amount: 800, owner: Cheezyps3	
