[4/22/23 10:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:14PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:14PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:14PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:14PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:15PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:17PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:17PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:17PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:21PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:21PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:23PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:24PM] Player picked up item: Coin, id: 995, amount: 300, owner: Medusa	
[4/22/23 10:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:24PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:24PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Medusa	
[4/22/23 10:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:28PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Medusa	
[4/22/23 10:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:28PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:34PM] Player picked up item: Coin, id: 995, amount: 1653848, owner: Medusa	
[4/22/23 10:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Medusa	
[4/22/23 10:34PM] Player picked up item: Coin, id: 995, amount: 2864104, owner: Medusa	
[4/22/23 10:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Medusa	
[4/22/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Medusa	
[4/22/23 10:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Medusa	
[4/22/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Medusa	
[4/22/23 10:44PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
[4/22/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Medusa	
[4/22/23 10:44PM] Player picked up item: Coin, id: 995, amount: 400, owner: Medusa	
